order_id,order_date,customer_id,customer_segment,region,product_name,category,subcategory,acquisition_channel,qty,unit_price,discount_pct,revenue,profit,payment_method,is_fraud_flag,order_status,delivery_date,delivery_days,delivery_cost,customer_rating,product_weight_kg
10000,2024-07-25,C42562,B2C_Standard,Moscow,Coffee Machine Delux,Home,Kitchen,organic_search,1,30028.71,0.094,27206.01,7705.96,invoice,0,delivered,2024-07-28,3,407.36,5,3.2
10001,2024-04-01,C98785,B2C_Premium,Kazan,Puffer Jacket Winter,Clothing,Outerwear,organic_search,1,6469.91,0.059,6088.19,2720.16,card,0,delivered,2024-04-05,4,421.99,4,0.9
10002,2024-03-23,C75954,B2C_Standard,Novosibirsk,Cookbook Italian,Books,Non-fiction,email,1,887.66,0.178,729.66,242.43,wallet,0,delivered,2024-03-28,5,321.85,4,0.8
10003,2024-10-06,C17316,B2C_Standard,Moscow,Wireless Headphones,Electronics,Audio,paid_search,1,21279.81,0.131,18492.15,6412.68,sbp,0,delivered,2024-10-08,2,29.33,3,0.3
10004,2024-06-12,C75954,B2C_Standard,Yekaterinburg,Running Shoes Elite,Sports,Footwear,direct,1,8725.26,0.074,8079.59,2932.95,sbp,0,delivered,2024-06-19,7,360.88,4,0.6
10005,2024-08-15,C23860,B2C_Budget,Moscow,Smart Watch Sport,Electronics,Wearables,organic_search,1,38858.87,0.124,34040.37,7880.47,sbp,0,delivered,2024-08-17,2,10.53,5,0.1
10006,2024-06-13,C66481,B2C_Budget,Yekaterinburg,Sci-Fi Novel Set,Books,Fiction,organic_search,1,1369.54,0.04,1314.76,554.03,invoice,0,returned,2024-06-20,7,298.38,,0.7
10007,2024-04-08,C96136,B2B_Small,Samara,Smart Watch Sport,Electronics,Wearables,organic_search,2,24317.43,0.138,41923.25,8479.46,credit,0,delivered,2024-04-13,5,327.94,1,0.1
10008,2024-04-15,C92048,B2B_Medium,Moscow,Protein Powder 2kg,Sports,Nutrition,paid_search,5,5643.16,0.046,26917.87,12982.4,card,0,delivered,2024-04-17,2,210.01,5,2.0
10009,2024-05-31,C62225,B2C_Standard,Moscow,Laptop UltraSlim 15,Electronics,Computers,direct,1,117162.0,0.047,111655.39,17403.8,wallet,0,cancelled,,,165.35,,1.6
10010,2024-08-25,C72806,B2B_Medium,Saint Petersburg,Protein Powder 2kg,Sports,Nutrition,paid_search,7,4874.45,0.033,32995.15,12953.59,sbp,0,returned,2024-08-28,3,199.57,,2.0
10011,2024-09-29,C31755,B2C_Standard,Moscow,Smartphone Pro X,Electronics,Mobile,email,1,145253.12,0.02,142348.06,22057.07,credit,0,returned,2024-10-03,4,17.9,,0.2
